text,labels
"Я постоянно анализирую логику процесса и пытаюсь структурировать информацию, при этом стараясь создать дружелюбную обстановку","0 3"
"Мне важны чувства других людей и эмоциональный климат в коллективе","2 3"
"Я люблю рассуждать о потенциальных возможностях, нестандартных идеях и при этом ценю физический комфорт","5 6"
"Для меня главную роль играет реальный комфорт, удобство и материальные объекты","6"
"Часто пытаюсь вывести общие закономерности и принципы из множества фактов","0"
"Эмоциональные связи между людьми и их ощущения для меня первичны","2 3"
"Я предпочитаю абстрактные теории, а не конкретные детали","4"
"Мне важна практичность и физические параметры предметов","1 6"
"Структурирование данных по категориям и определение логических правил — мой конёк","0"
"Я стараюсь поддерживать гармонию в отношениях и учитывать настроение собеседника","3"
"Мне нравится думать о будущих сценариях, о том, что может произойти","4"
"Я обращаю внимание на качество материалов и удобство использования вещей","6"
"Я люблю искать логические несоответствия и устранять их в системах","0"
"Эмоции для меня — важнейший инструмент понимания другого человека","2 3"
"Меня вдохновляют неожиданные теории, которые ещё не доказаны","4 5"
"Предпочитаю оценить предмет тактильно, убедившись в его прочности","6"
"Анализируя законы и принципы, я создаю точную систему знаний, оставляя место для неожиданных идей","0 5"
"Мне важно, чтобы каждый ощущал заботу, понимание и поддержку","3"
"Удивительные концепции и идеи, не имеющие ещё применения, очень интересны для меня","5"
"Я сфокусирован на реальности: качестве еды, одежды и удобстве пространства","6"
"Я люблю анализировать архитектуру компьютерных систем и находить в них логические закономерности","0"
"Мне интересно, какие инновации появятся в компьютерах будущего, какие идеи будут реализованы, предчувствуя грядущие тенденции","4 5"
"Для меня важно, чтобы компьютерные устройства были удобными, с эргономичной клавиатурой и дисплеем","6"
"Когда я покупаю компьютер, мне важнее комфорт и надежность, чем эмоциональный отклик","1 6"
"Я не просто использую компьютер, а пытаюсь понять внутреннюю логику его работы","0"
"Эмоциональная реакция людей на новые технологические решения мне важна","3"
"Я представляю, как компьютеры могут стать проводниками в мир новых возможностей и абстрактных идей","4 5"
"Мне важно поддерживать дружескую и тёплую атмосферу в коллективе","3"
"Я ценю искренние эмоции и способность разделять радость или печаль другого","2 3"
"Для меня важен эмоциональный отклик: чтобы люди чувствовали себя понятыми","2"
"Я стараюсь улавливать настроение собеседника и подбирать слова, которые его поддержат","3"
"Приятно, когда в отношениях присутствует взаимное понимание и эмпатия","2 3"
"Мне важно, чтобы человек знал: его чувства имеют значение для меня","2"
"Я часто думаю о том, как мои слова отразятся на эмоциях других людей","3"
"Стараюсь создавать атмосферу доверия, где каждый может открыть свои переживания","3"
"Когда я общаюсь, я обращаю внимание на тон голоса, выражение лица, эмоциональный фон","3"
"Я люблю общаться с людьми не просто так, а чтобы почувствовать их состояние и обсудить новые необычные возможности","2 5"
"Главное — понять, что волнует человека, и показать, что мне это не безразлично","2"
"Меня интересуют не только факты, но и чувства, которые стоят за словами","2"
"Если человек расстроен, я стараюсь найти слова поддержки или просто выслушать","2 3"
"Я предпочитаю диалог, в котором есть эмоциональный контакт, а не только обмен информацией","3"
"Мне нравится подмечать тонкие нюансы настроения другого человека и реагировать на них","3"
"Важны не только результаты, но и то, как люди себя чувствуют в процессе","3"
"Я верю, что эмоции — это язык, который помогает понять истинные потребности собеседника","2 3"
"Мне нравятся открытые, искренние разговоры, где можно поделиться радостью или горем","2 3"
"Стремлюсь создать вокруг себя обстановку, в которой люди могут быть самими собой","3"
"Человеческие чувства и отношения — это то, что наполняет общение смыслом","2 3"
"Мне нравится разбираться в устройстве теории до мельчайших деталей, чтобы понять её суть","0"
"Я организую процессы так, чтобы достигать максимальной эффективности при минимальных затратах времени","1"
"Важнее всего для меня — искренние ценности и понимание внутреннего мира человека, но я также учитываю эффективность","1 2"
"Я люблю создавать вокруг себя эмоционально насыщенную и вдохновляющую атмосферу","3"
"Часто предвижу будущие события и понимаю закономерности прежде, чем они проявятся явно","4"
"Меня вдохновляют новые идеи, я всегда ищу нестандартные решения проблем","5"
"Я уделяю внимание мелочам, стремясь к личному комфорту и гармонии в теле и пространстве","6"
"Мне нравится проверять свою силу и способность влиять на события, добиваясь результата","1 7"
"Погружаясь в суть задачи, разбираю её на составляющие, ищу логическую структуру","0"
"Строю чёткие планы и устанавливаю сроки, чтобы всё шло по графику","1"
"Я стремлюсь понять внутренние мотивы людей и их личные ценности, даже если они скрыты","2"
"Моя цель — создать тёплую атмосферу, чтобы каждый мог выразить свои чувства открыто","3"
"Часто улавливаю скрытый смысл слов, предвижу последствия незаметных поступков","4"
"Люблю, когда идеи возникают неожиданно и ведут к свежим, креативным решениям","5"
"Для меня важно ощущение уюта, мягкости, приятных запахов и вкусов","6"
"Предпочитаю действовать решительно и смело, брать инициативу в свои руки","7"
"Когда изучаю предмет, прослеживаю внутреннюю логику и причины явлений","0"
"Эффективные методики управления ресурсами и людьми — вот что меня интересует","1"
"Ценю глубину чувств и искренность, понимаю человека без лишних слов","2"
"Стараюсь повысить общий эмоциональный тон обсуждения, чтобы вдохновить участников","3"
"Придаю значение символам, предчувствиям и неочевидным сигналам, влияющим на будущее","4"
"Моя энергия растёт, когда я генерирую новые концепции и расширяю границы возможного","5"
"Забочусь о здоровье, правильном питании, удобстве и тактильных ощущениях","6"
"Активно пробиваюсь вперёд, проявляя напор и физическую энергичность","7"
"Я стремлюсь понять, как отдельные части системы связаны между собой, чтобы вывести общую логику","0"
"Люблю оптимизировать рабочий процесс, чтобы каждый шаг приносил максимальную отдачу","1"
